AidID,PersonID,ProgramType,DisbursementDate,Amount,EligibilityStatus,PaymentMethod,Province,IncomeBracket,AgeGroup,ReceivedThroughIndigenousServices
A0001,P0001,GIS,2023-09-29,2074,Pending,Direct Deposit,QC,High,18-34,False
A0002,P0002,CRB,2025-03-17,2080,Eligible,Direct Deposit,NS,Medium,35-54,False
A0003,P0003,GST Credit,2023-02-09,2942,Eligible,Direct Deposit,QC,Low,35-54,False
A0004,P0004,CERB,2024-07-29,2873,Eligible,Cheque,PE,Medium,18-34,True
A0005,P0005,CRB,2024-08-12,1614,Ineligible,Direct Deposit,NB,Medium,18-34,True
A0006,P0006,CERB,2023-12-12,1249,Eligible,Direct Deposit,NB,Medium,35-54,True
A0007,P0007,GST Credit,2022-06-28,1593,Eligible,Direct Deposit,ON,Low,18-34,True
A0008,P0008,CRB,2024-04-18,1689,Eligible,Direct Deposit,NB,High,0-17,False
A0009,P0009,GST Credit,2023-05-23,2761,Eligible,Cheque,QC,High,55+,True
A0010,P0010,CCB,2024-07-20,2375,Eligible,Direct Deposit,SK,Low,35-54,True
A0011,P0011,GST Credit,2023-03-06,2287,Pending,Direct Deposit,ON,High,35-54,True
A0012,P0012,CCB,2025-01-26,2916,Pending,Direct Deposit,MB,High,35-54,True
A0013,P0013,CRB,2022-09-29,2107,Eligible,Direct Deposit,NS,Medium,18-34,False
A0014,P0014,CCB,2024-01-12,548,Eligible,Direct Deposit,PE,Medium,35-54,True
A0015,P0015,CRB,2025-01-01,1575,Pending,Direct Deposit,ON,Low,18-34,True
A0016,P0016,CRB,2024-11-13,1812,Eligible,Direct Deposit,QC,Low,0-17,True
A0017,P0017,GIS,2025-02-07,2149,Eligible,Direct Deposit,NS,Medium,18-34,True
A0018,P0018,CRB,2022-09-09,2680,Eligible,Direct Deposit,SK,High,18-34,False
A0019,P0019,CCB,2023-10-20,1689,Eligible,Direct Deposit,BC,Medium,35-54,False
A0020,P0020,GIS,2024-07-21,1897,Eligible,Direct Deposit,PE,Medium,0-17,False
A0021,P0021,GIS,2024-04-27,2920,Eligible,Direct Deposit,QC,Low,0-17,False
A0022,P0022,CRB,2023-01-02,2328,Eligible,Direct Deposit,PE,Low,18-34,True
A0023,P0023,GST Credit,2023-09-18,978,Eligible,Direct Deposit,AB,Medium,18-34,False
A0024,P0024,GST Credit,2025-05-14,1331,Pending,Direct Deposit,BC,Low,35-54,True
A0025,P0025,GIS,2023-01-02,2114,Ineligible,Direct Deposit,NS,Medium,18-34,True
A0026,P0026,CRB,2022-07-18,1181,Ineligible,Cheque,NB,Low,35-54,False
A0027,P0027,GST Credit,2024-04-24,1823,Eligible,Cheque,QC,Medium,18-34,True
A0028,P0028,CRB,2024-04-07,581,Eligible,Direct Deposit,PE,Low,35-54,False
A0029,P0029,CRB,2022-09-16,586,Eligible,Direct Deposit,NS,Medium,35-54,True
A0030,P0030,GIS,2023-12-04,2772,Pending,Direct Deposit,NB,Medium,18-34,False
A0031,P0031,GIS,2024-11-24,2563,Eligible,Direct Deposit,SK,Low,35-54,False
A0032,P0032,CERB,2023-08-27,1321,Eligible,Direct Deposit,SK,Low,18-34,False
A0033,P0033,GST Credit,2022-07-17,662,Eligible,Direct Deposit,PE,Low,18-34,False
A0034,P0034,GST Credit,2022-11-06,2897,Eligible,Cheque,ON,High,55+,False
A0035,P0035,GST Credit,2024-03-25,2432,Eligible,Direct Deposit,AB,Low,0-17,True
A0036,P0036,CCB,2022-09-01,2350,Pending,Direct Deposit,ON,Medium,0-17,True
A0037,P0037,CRB,2024-07-12,2360,Ineligible,Direct Deposit,AB,High,35-54,True
A0038,P0038,GIS,2023-08-01,1615,Eligible,Direct Deposit,QC,Medium,0-17,False
A0039,P0039,GST Credit,2025-04-07,2728,Pending,Direct Deposit,MB,Low,35-54,True
A0040,P0040,CERB,2023-11-28,2382,Eligible,Direct Deposit,PE,High,18-34,False
A0041,P0041,GST Credit,2023-09-15,1422,Eligible,Direct Deposit,NL,Low,55+,True
A0042,P0042,CRB,2023-03-24,2675,Eligible,Direct Deposit,PE,Medium,35-54,True
A0043,P0043,CRB,2024-02-28,1949,Eligible,Direct Deposit,BC,High,35-54,False
A0044,P0044,GIS,2025-02-02,2082,Eligible,Direct Deposit,NB,Medium,55+,True
A0045,P0045,CCB,2023-01-23,1064,Ineligible,Direct Deposit,BC,Medium,18-34,True
A0046,P0046,GIS,2025-05-13,970,Eligible,Direct Deposit,SK,Low,55+,True
A0047,P0047,GST Credit,2022-07-18,1487,Eligible,Direct Deposit,AB,Low,0-17,False
A0048,P0048,CERB,2022-10-25,2434,Eligible,Cheque,NB,Medium,18-34,False
A0049,P0049,GIS,2023-03-31,723,Ineligible,Direct Deposit,SK,Low,18-34,True
